"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"mlp","accidental_success","1.0","6","12351","6100","0.44588","0.015","0.3677","0.445"
"mlp","flailing","0.25","6","12351","12318","0.12985","0.98","0.0443","0.0"
"mlp","flailing","0.5","6","12351","12808","0.147056","0.91","0.0713","0.01"
"mlp","flailing","0.75","6","12351","13248","0.129251","0.93","0.0632","0.0"
"mlp","flailing","0.9","6","12351","13380","0.137654","0.89","0.0772","0.01"
"mlp","flailing","1.0","6","12351","13672","0.131836","0.98","0.0441","0.005"
"mlp","truncation","0.25","6","12351","11048","0.129759","0.955","0.0546","0.005"
"mlp","truncation","0.5","6","12351","10286","0.127667","0.96","0.0525","0.005"
"mlp","truncation","0.75","6","12351","9339","0.140082","0.955","0.0545","0.005"
"mlp","truncation","0.9","6","12351","9010","0.137589","0.955","0.0551","0.0"
"mlp","truncation","1.0","6","12351","8420","0.143678","0.97","0.0494","0.0"
"mlp","inconsistent_strategy","0.25","6","12351","13594","0.162319","0.985","0.0457","0.0"
"mlp","inconsistent_strategy","0.5","6","12351","15532","0.202964","0.995","0.0439","0.0"
"mlp","inconsistent_strategy","0.75","6","12351","17047","0.246134","0.665","0.0592","0.0"
"mlp","inconsistent_strategy","0.9","6","12351","17828","0.2885","0.28","0.096","0.0"
"mlp","inconsistent_strategy","1.0","6","12351","18699","0.320785","0.085","0.129","0.0"
"mlp","clean","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","occlusion","0.25","7","12352","12299","0.14772","0.93","0.0637","0.0"
"mlp","occlusion","0.5","7","12352","12026","0.147899","0.94","0.0601","0.02"
"mlp","occlusion","0.75","7","12352","12198","0.163114","0.945","0.0607","0.015"
"mlp","occlusion","0.9","7","12352","12132","0.184653","0.89","0.0785","0.035"
"mlp","occlusion","1.0","7","12352","12413","0.189743","0.9","0.0755","0.035"
"mlp","accidental_success","0.25","7","12352","10796","0.155564","0.91","0.0699","0.015"
"mlp","accidental_success","0.5","7","12352","9184","0.158835","0.935","0.0594","0.005"
"mlp","accidental_success","0.75","7","12352","7579","0.208844","0.99","0.0403","0.005"
"mlp","accidental_success","0.9","7","12352","6690","0.303981","0.545","0.2114","0.29"
"mlp","accidental_success","1.0","7","12352","6253","0.44482","0.035","0.447","0.825"
"mlp","flailing","0.25","7","12352","12656","0.123416","0.98","0.0463","0.01"
"mlp","flailing","0.5","7","12352","12885","0.125966","0.975","0.0487","0.005"
"mlp","flailing","0.75","7","12352","13446","0.127044","0.99","0.0442","0.005"
"mlp","flailing","0.9","7","12352","13625","0.126525","0.935","0.0616","0.005"
"mlp","flailing","1.0","7","12352","13723","0.128689","0.945","0.059","0.0"
"mlp","truncation","0.25","7","12352","11479","0.128062","0.975","0.048","0.005"
"mlp","truncation","0.5","7","12352","10174","0.13151","0.965","0.0529","0.005"
"mlp","truncation","0.75","7","12352","9159","0.139112","0.975","0.0481","0.0"
"mlp","truncation","0.9","7","12352","8708","0.161065","0.94","0.0613","0.015"
"mlp","truncation","1.0","7","12352","8506","0.143497","0.965","0.0523","0.015"
"mlp","inconsistent_strategy","0.25","7","12352","13997","0.163534","0.98","0.0463","0.0"
"mlp","inconsistent_strategy","0.5","7","12352","15444","0.204619","0.985","0.0463","0.0"
"mlp","inconsistent_strategy","0.75","7","12352","16829","0.255763","0.54","0.0669","0.0"
"mlp","inconsistent_strategy","0.9","7","12352","17873","0.298505","0.47","0.076","0.0"
"mlp","inconsistent_strategy","1.0","7","12352","18755","0.319293","0.145","0.0983","0.0"
"mlp","occlusion","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","accidental_success","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","flailing","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","truncation","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","inconsistent_strategy","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","occlusion","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","accidental_success","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","flailing","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","truncation","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","inconsistent_strategy","0.0","7","12352","12244","0.122439","0.915","0.0689","0.005"
"mlp","clean","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","occlusion","0.25","8","12353","11950","0.139182","0.965","0.0513","0.0"
"mlp","occlusion","0.5","8","12353","12337","0.139757","0.965","0.0517","0.01"
"mlp","occlusion","0.75","8","12353","12426","0.166325","0.95","0.0559","0.015"
"mlp","occlusion","0.9","8","12353","12020","0.186576","0.87","0.0885","0.045"
"mlp","occlusion","1.0","8","12353","12381","0.189045","0.88","0.0781","0.015"
"mlp","accidental_success","0.25","8","12353","10493","0.135614","0.965","0.0509","0.005"
"mlp","accidental_success","0.5","8","12353","9215","0.163005","0.96","0.0525","0.01"
"mlp","accidental_success","0.75","8","12353","7587","0.215122","0.95","0.0542","0.015"
"mlp","accidental_success","0.9","8","12353","6634","0.291781","0.53","0.2712","0.37"
"mlp","accidental_success","1.0","8","12353","6195","0.461795","0.015","0.3636","0.495"
"mlp","flailing","0.25","8","12353","12410","0.122067","0.96","0.0542","0.005"
"mlp","flailing","0.5","8","12353","12871","0.123749","0.98","0.0467","0.01"
"mlp","flailing","0.75","8","12353","13276","0.129206","0.97","0.0514","0.015"
"mlp","flailing","0.9","8","12353","13359","0.13264","1.0","0.0396","0.0"
"mlp","flailing","1.0","8","12353","13391","0.141072","0.96","0.0502","0.0"
"mlp","truncation","0.25","8","12353","10969","0.128534","0.96","0.0537","0.005"
"mlp","truncation","0.5","8","12353","10282","0.145618","0.945","0.0591","0.005"
"mlp","truncation","0.75","8","12353","9329","0.13817","0.98","0.0462","0.01"
"mlp","truncation","0.9","8","12353","8670","0.139596","0.985","0.0442","0.0"
"mlp","truncation","1.0","8","12353","8205","0.150613","0.95","0.0574","0.0"
"mlp","inconsistent_strategy","0.25","8","12353","13813","0.176926","0.995","0.0434","0.0"
"mlp","inconsistent_strategy","0.5","8","12353","15794","0.208495","0.925","0.0483","0.0"
"mlp","inconsistent_strategy","0.75","8","12353","17518","0.254019","0.69","0.0632","0.0"
"mlp","inconsistent_strategy","0.9","8","12353","18100","0.287347","0.405","0.07","0.0"
"mlp","inconsistent_strategy","1.0","8","12353","19180","0.327614","0.135","0.0906","0.0"
"mlp","clean","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
"mlp","occlusion","0.25","9","12354","12148","0.1351","0.935","0.0628","0.01"
"mlp","occlusion","0.5","9","12354","11976","0.153835","0.905","0.0719","0.015"
"mlp","occlusion","0.75","9","12354","12002","0.161586","0.855","0.0869","0.0"
"mlp","occlusion","0.9","9","12354","11869","0.179767","0.86","0.09","0.025"
"mlp","occlusion","1.0","9","12354","11923","0.184252","0.865","0.0905","0.05"
"mlp","accidental_success","0.25","9","12354","10687","0.135147","0.915","0.0718","0.035"
"mlp","accidental_success","0.5","9","12354","9216","0.156442","0.98","0.0458","0.005"
"mlp","accidental_success","0.75","9","12354","7528","0.219628","0.965","0.053","0.01"
"mlp","accidental_success","0.9","9","12354","6693","0.289088","0.79","0.1306","0.16"
"mlp","accidental_success","1.0","9","12354","6094","0.464435","0.005","0.3237","0.16"
"mlp","flailing","0.25","9","12354","12438","0.122136","0.955","0.0562","0.01"
"mlp","flailing","0.5","9","12354","12812","0.129137","0.97","0.0495","0.0"
"mlp","flailing","0.75","9","12354","13173","0.124315","0.985","0.045","0.005"
"mlp","flailing","0.9","9","12354","13465","0.127115","0.97","0.0502","0.005"
"mlp","flailing","1.0","9","12354","13565","0.121306","0.99","0.0425","0.0"
"mlp","truncation","0.25","9","12354","11132","0.124242","0.985","0.0455","0.0"
"mlp","truncation","0.5","9","12354","10173","0.127001","0.97","0.0503","0.0"
"mlp","truncation","0.75","9","12354","9022","0.138587","0.925","0.064","0.005"
"mlp","truncation","0.9","9","12354","8734","0.142051","0.975","0.0478","0.01"
"mlp","truncation","1.0","9","12354","8301","0.142081","0.94","0.0614","0.005"
"mlp","inconsistent_strategy","0.25","9","12354","13756","0.16688","0.99","0.0452","0.0"
"mlp","inconsistent_strategy","0.5","9","12354","15315","0.201648","0.995","0.0434","0.0"
"mlp","inconsistent_strategy","0.75","9","12354","17376","0.244889","0.8","0.0548","0.0"
"mlp","inconsistent_strategy","0.9","9","12354","17751","0.285393","0.13","0.0966","0.0"
"mlp","inconsistent_strategy","1.0","9","12354","18855","0.324669","0.34","0.1051","0.0"
"mlp","occlusion","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","accidental_success","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","flailing","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","truncation","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","inconsistent_strategy","0.0","8","12353","12130","0.122552","0.965","0.0515","0.005"
"mlp","occlusion","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
"mlp","accidental_success","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
"mlp","flailing","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
"mlp","truncation","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
"mlp","inconsistent_strategy","0.0","9","12354","12070","0.125108","0.925","0.0611","0.0"
